Country,2019,2020,2021,2022,2023
Monaco,193746.7856,176891.8865,223823.364,226052.0019,256580.5151
Liechtenstein,166907.8393,164671.0936,196783.7294,186400.2338,186400.2338
Luxembourg,112726.4397,116905.3704,133711.7944,125006.0218,128678.1899
Bermuda,115798.0408,106973.1757,112712.0251,120897.3112,125841.6025
Ireland,82508.46599,87567.1149,105561.1375,106194.7559,103887.8004
Switzerland,84121.93103,85897.78433,93446.43445,93245.79521,99564.71003
Cayman Islands,88254.29037,82338.79829,86438.44526,92202.1478,97749.5079
Norway,76430.58895,68340.0181,93072.89251,108798.4512,87925.09442
Singapore,66081.71992,61466.80368,79601.41296,88428.70242,84734.25592
United States,65604.68152,64411.37318,71318.30736,78035.17536,82769.41221
Qatar,66841.30135,51683.50544,71751.88312,88701.46335,80195.87465
North America,63634.7861,62271.19692,69382.17285,75686.48983,79640.42962
Iceland,68452.23622,59023.56635,69325.90783,75314.08556,79636.95486
Channel Islands,60568.10853,56785.94024,66912.17501,67627.30823,74589.13802
Faroe Islands,63064.63431,62236.08666,68736.50561,66108.73365,71717.70422
Denmark,59404.26632,60985.48856,69727.98737,68091.31911,68453.87693
"Macao SAR, China",81967.69917,36976.25611,45376.31459,36909.95641,67476.52908
Australia,54972.70179,51791.54018,60607.77886,64997.01365,64820.91179
Netherlands,53554.90075,53467.92774,60141.98809,59123.31856,64572.00596
Austria,49885.99474,48716.40989,53648.71907,52176.66491,56033.57379
Sweden,51773.04646,52653.75659,61174.96802,55296.93715,55516.83648
Belgium,46716.62275,45906.28758,51655.78833,50807.20471,54700.90932
Germany,47623.86561,47379.76519,52265.65416,49686.11546,54343.22651
Canada,46352.86934,43537.8393,52496.84417,55509.39318,53431.18571
Finland,48358.18078,48828.68469,53099.13514,50438.4754,52925.68976
Israel,44140.82894,44679.77158,52255.61591,54930.72616,52642.42675
"Hong Kong SAR, China",48359.0012,46109.22999,49770.56424,48826.05277,50531.73854
United Kingdom,42662.53537,40201.68124,46896.86624,45935.92765,49463.85546
United Arab Emirates,44251.45414,37173.87541,43360.0211,49899.0653,49040.69475
High income,41457.38717,40262.86988,45229.27533,46632.84861,48752.71274
New Zealand,42747.20993,41785.69229,49624.18167,48216.50958,48280.81142
Andorra,41257.80458,37361.09007,42425.69968,42414.05901,46812.44845
France,40408.28486,39169.8606,43725.09995,41082.81193,44690.93454
European Union,35341.57033,34635.48959,39180.37584,37948.95054,41422.79997
Malta,32412.26978,31796.82134,38027.38017,36142.20585,40395.76921
Italy,33812.78872,32091.48666,36852.54254,35635.74422,39003.3161
Sint Maarten (Dutch part),34861.46953,30150.89984,32548.43669,36476.63008,38077.54449
Puerto Rico,32916.8668,31427.42911,32619.25042,35268.0791,36779.05949
Cyprus,29703.05273,28649.01563,33734.29297,33938.94531,36551.41797
"Bahamas, The",32979.54013,25155.67254,28682.327,33044.38821,35896.50511
Aruba,31096.20507,22855.93232,27200.06108,30559.53353,33984.79062
Japan,40415.95676,40040.76551,40058.53733,34017.27181,33766.52683
Kuwait,31707.87375,25236.07555,34043.54215,40077.23805,33729.79855
Spain,29776.20115,27230.35999,30817.68286,30287.36576,33509.0128
"Korea, Rep.",31902.4169,31721.29891,35125.5225,32394.68337,33121.37129
Brunei Darussalam,30426.57303,26834.35925,31006.96362,36632.92804,32962.90651
Slovenia,25814.16872,25392.06511,29187.36938,28373.83823,32610.11092
Saudi Arabia,27892.84215,23271.40376,28396.08642,34454.19577,32093.9623
Czechia,24062.719,23472.89155,27696.46195,28282.22367,31591.17707
