Country,Average Life Expectancy,Female Life Expectancy ,Male Life Expectancy 
Hong Kong,85.77,88.39,83.1
Japan,85,88.03,81.99
South Korea,84.53,87.4,81.44
French Polynesia,84.31,86.74,82.03
Switzerland,84.23,86.06,82.34
Australia,84.21,85.97,82.43
Italy,84.03,86.01,81.94
Singapore,84,86.48,81.53
Spain,83.96,86.59,81.27
Réunion,83.8,86.57,80.81
Malta,83.63,85.51,81.69
Norway,83.61,85.09,82.11
France,83.58,86.31,80.73
Sweden,83.58,85.34,81.84
Macao,83.42,85.49,81.26
United Arab Emirates,83.23,84.44,82.37
Iceland,83.15,84.57,81.8
Martinique,82.89,85.84,79.63
Canada,82.88,85.03,80.74
Israel,82.77,84.81,80.67
Ireland,82.75,84.72,80.79
Portugal,82.72,85.37,79.89
Qatar,82.68,83.6,81.96
Luxembourg,82.49,84.06,80.91
Netherlands,82.45,83.98,80.89
Belgium,82.43,84.57,80.26
Guadeloupe,82.4,85.77,78.56
New Zealand,82.39,84,80.77
Austria,82.29,84.57,79.97
