Country/Region,Average Annual income
Bermuda,130290
Norway,102910
Switzerland,95070
Luxembourg,83980
United States,80450
Iceland,80400
Ireland,78970
Denmark,73340
Singapore,70590
Australia,63150
Netherlands,62540
Sweden,60480
Hong Kong,55170
Austria,55030
Germany,54800
Israel,54650
Belgium,54580
Canada,54040
San Marino,53930
Finland,53230
Andorra,50150
New Zealand,48220
United Kingdom,47700
Macao,45960
France,45180
Japan,39350
Italy,37920
South Korea,35490
Malta,34750
Taiwan,33365
Cyprus,32960
Spain,32830
Saudi Arabia,31860
Slovenia,30860
Estonia,27620
Czechia,27370
Portugal,26150
Lithuania,25080
Slovakia,22790
Latvia,22630
Greece,22590
Croatia,20590
Poland,19900
Hungary,19670
Romania,16660
Chile,15800
Bulgaria,14280
Costa Rica,14260
Russia,14250
